sample_id,hostname,instant_offset_sec,last_offset_sec,jitter_sec
11,compute-0-0,0.000000017,+0.000087924,0.000199487
11,compute-0-1,0.000017637,+0.000033973,0.000101545
11,compute-0-2,0.000009671,+0.000012813,0.000045489
11,compute-0-3,0.000005036,+0.000005797,0.000109460
114,localhost,0.000335852,+0.000282645,0.002291563
114,compute-0-0,0.000000017,+0.000087924,0.000199487
114,compute-0-1,0.000013242,+0.000033973,0.000101545
114,compute-0-2,0.000008734,+0.000012813,0.000045489
114,compute-0-3,0.000004851,+0.000005797,0.000109460
12,localhost,0.000334631,+0.000282645,0.002291563
12,compute-0-0,0.000000017,+0.000087924,0.000199487
12,compute-0-1,0.000012509,+0.000033973,0.000101545
12,compute-0-2,0.000008578,+0.000012813,0.000045489
12,compute-0-3,0.000004821,+0.000005797,0.000109460
115,localhost,0.000327299,+0.000282645,0.002291563
115,compute-0-0,0.000000017,+0.000087924,0.000199487
115,compute-0-1,0.000116127,+0.000147196,0.000106990
115,compute-0-2,0.000007639,+0.000012813,0.000045489
115,compute-0-3,0.000004637,+0.000005797,0.000109460
13,localhost,0.000326084,+0.000282645,0.002291563
13,compute-0-0,0.000000017,+0.000087924,0.000199487
13,compute-0-1,0.000106696,+0.000147196,0.000106990
13,compute-0-2,0.000007484,+0.000012813,0.000045489
13,compute-0-3,0.000004606,+0.000005797,0.000109460
116,localhost,0.000318752,+0.000282645,0.002291563
116,compute-0-0,0.000000017,+0.000087924,0.000199487
116,compute-0-1,0.000049850,+0.000147196,0.000106990
116,compute-0-2,0.000100895,+0.000095597,0.000052689
116,compute-0-3,0.000108306,+0.000144786,0.000113489
14,localhost,0.000317537,+0.000282645,0.002291563
14,compute-0-0,0.000000017,+0.000087924,0.000199487
14,compute-0-1,0.000040471,+0.000147196,0.000106990
14,compute-0-2,0.000097203,+0.000095597,0.000052689
14,compute-0-3,0.000100504,+0.000144786,0.000113489
117,localhost,0.000310201,+0.000282645,0.002291563
117,compute-0-0,0.000129103,+0.000176926,0.000197347
117,compute-0-1,0.000000040,+0.000147196,0.000106990
117,compute-0-2,0.000074628,+0.000095597,0.000052689
117,compute-0-3,0.000052961,+0.000144786,0.000113489
15,localhost,0.000308995,+0.000282645,0.002291563
15,compute-0-0,0.000116772,+0.000176926,0.000197347
15,compute-0-1,0.000000040,+0.000147196,0.000106990
15,compute-0-2,0.000070939,+0.000095597,0.000052689
15,compute-0-3,0.000045215,+0.000144786,0.000113489
118,localhost,0.000301641,+0.000282645,0.002291563
118,compute-0-0,0.000041637,+0.000176926,0.000197347
118,compute-0-1,0.000000040,+0.000147196,0.000106990
118,compute-0-2,0.000048303,+0.000095597,0.000052689
118,compute-0-3,0.000000046,+0.000144786,0.000113489
16,localhost,0.000300443,+0.000282645,0.002291563
16,compute-0-0,0.000029505,+0.000176926,0.000197347
16,compute-0-1,0.000000040,+0.000147196,0.000106990
16,compute-0-2,0.000044632,+0.000095597,0.000052689
16,compute-0-3,0.000000046,+0.000144786,0.000113489
119,localhost,0.000293070,+0.000282645,0.002291563
119,compute-0-0,0.000000029,+0.000176926,0.000197347
119,compute-0-1,0.000000040,+0.000147196,0.000106990
119,compute-0-2,0.000022079,+0.000095597,0.000052689
119,compute-0-3,0.000000046,+0.000144786,0.000113489
17,localhost,0.000291870,+0.000282645,0.002291563
17,compute-0-0,0.000000029,+0.000176926,0.000197347
17,compute-0-1,0.000000040,+0.000147196,0.000106990
17,compute-0-2,0.000018338,+0.000095597,0.000052689
17,compute-0-3,0.000000046,+0.000144786,0.000113489
120,localhost,0.000284526,+0.000282645,0.002291563
120,compute-0-0,0.000000029,+0.000176926,0.000197347
120,compute-0-1,0.000000040,+0.000147196,0.000106990
120,compute-0-2,0.000000017,+0.000095597,0.000052689
120,compute-0-3,0.000000046,+0.000144786,0.000113489
18,localhost,0.000283315,+0.000282645,0.002291563
